LunarDay,LunarMonth,LunarMonthLabel,LunarYear,Day,monthLabel,month,Year,dataFile,,,,
27,,MUHARRAM,1441,27,September,9,2019,1,,,,
28,,MUHARRAM,1441,28,September,9,2019,1,,,,
29,,MUHARRAM,1441,29,September,9,2019,1,,,,
1,,Safar,1441,30,September,9,2019,1,,,,
2,,Safar,1441,1,October,10,2019,1,,,,
3,,Safar,1441,2,October,10,2019,1,,,,
4,,Safar,1441,3,October,10,2019,1,,,,
5,,Safar,1441,4,October,10,2019,1,,,,
6,,Safar,1441,5,October,10,2019,1,,,,
7,,Safar,1441,6,October,10,2019,1,,,,
8,,Safar,1441,7,October,10,2019,1,,,,
9,,Safar,1441,8,October,10,2019,1,,,,
10,,Safar,1441,9,October,10,2019,1,,,,
11,,Safar,1441,10,October,10,2019,1,,,,
12,,Safar,1441,11,October,10,2019,1,,,,
13,,Safar,1441,12,October,10,2019,1,,,,
14,,Safar,1441,13,October,10,2019,1,,,,
15,,Safar,1441,14,October,10,2019,1,,,,
16,,Safar,1441,15,October,10,2019,1,,,,
17,,Safar,1441,16,October,10,2019,1,,,,
18,,Safar,1441,17,October,10,2019,1,,,,
19,,Safar,1441,18,October,10,2019,1,,,,
20,,Safar,1441,19,October,10,2019,1,,,,
21,,Safar,1441,20,October,10,2019,1,,,,
22,,Safar,1441,21,October,10,2019,1,,,,
23,,Safar,1441,22,October,10,2019,1,,,,
24,,Safar,1441,23,October,10,2019,1,,,,
25,,Safar,1441,24,October,10,2019,1,,,,
26,,Safar,1441,25,October,10,2019,1,,,,
27,,Safar,1441,26,October,10,2019,1,,,,
28,,Safar,1441,27,October,10,2019,1,,,,
29,,Safar,1441,28,October,10,2019,1,,,,
30,,Safar,1441,29,October,10,2019,1,,,,
1,,RABI-UL-AWWAL,1441,30,October,10,2019,1,,,,
2,,RABI-UL-AWWAL,1441,31,October,10,2019,1,,,,
3,,RABI-UL-AWWAL,1441,1,November,11,2019,1,,,,
4,,RABI-UL-AWWAL,1441,2,November,11,2019,1,,,,
5,,RABI-UL-AWWAL,1441,3,November,11,2019,1,,,,
6,,RABI-UL-AWWAL,1441,4,November,11,2019,1,,,,
7,,RABI-UL-AWWAL,1441,5,November,11,2019,1,,,,
8,,RABI-UL-AWWAL,1441,6,November,11,2019,1,,,,
9,,RABI-UL-AWWAL,1441,7,November,11,2019,1,,,,
10,,RABI-UL-AWWAL,1441,8,November,11,2019,1,,,,
11,,RABI-UL-AWWAL,1441,9,November,11,2019,1,,,,
12,,RABI-UL-AWWAL,1441,10,November,11,2019,1,,,,
13,,RABI-UL-AWWAL,1441,11,November,11,2019,1,,,,
14,,RABI-UL-AWWAL,1441,12,November,11,2019,1,,,,
15,,RABI-UL-AWWAL,1441,13,November,11,2019,1,,,,
16,,RABI-UL-AWWAL,1441,14,November,11,2019,1,,,,
17,,RABI-UL-AWWAL,1441,15,November,11,2019,1,,,,
18,,RABI-UL-AWWAL,1441,16,November,11,2019,1,,,,
19,,RABI-UL-AWWAL,1441,17,November,11,2019,1,,,,
20,,RABI-UL-AWWAL,1441,18,November,11,2019,1,,,,
21,,RABI-UL-AWWAL,1441,19,November,11,2019,1,,,,
22,,RABI-UL-AWWAL,1441,20,November,11,2019,1,,,,
23,,RABI-UL-AWWAL,1441,21,November,11,2019,1,,,,
24,,RABI-UL-AWWAL,1441,22,November,11,2019,1,,,,
25,,RABI-UL-AWWAL,1441,23,November,11,2019,1,,,,
26,,RABI-UL-AWWAL,1441,24,November,11,2019,1,,,,
27,,RABI-UL-AWWAL,1441,25,November,11,2019,1,,,,
28,,RABI-UL-AWWAL,1441,26,November,11,2019,1,,,,
29,,RABI-UL-AWWAL,1441,27,November,11,2019,1,,,,
1,,Rabi-us-Sani,1441,28,November,11,2019,1,,,,
2,,Rabi-us-Sani,1441,29,November,11,2019,1,,,,
3,,Rabi-us-Sani,1441,30,November,11,2019,1,,,,
4,,Rabi-us-Sani,1441,1,December,12,2019,1,,,,
5,,Rabi-us-Sani,1441,2,December,12,2019,1,,,,
6,,Rabi-us-Sani,1441,3,December,12,2019,1,,,,
7,,Rabi-us-Sani,1441,4,December,12,2019,1,,,,
8,,Rabi-us-Sani,1441,5,December,12,2019,1,,,,
9,,Rabi-us-Sani,1441,6,December,12,2019,1,,,,
10,,Rabi-us-Sani,1441,7,December,12,2019,1,,,,
11,,Rabi-us-Sani,1441,8,December,12,2019,1,,,,
12,,Rabi-us-Sani,1441,9,December,12,2019,1,,,,
13,,Rabi-us-Sani,1441,10,December,12,2019,1,,,,
14,,Rabi-us-Sani,1441,11,December,12,2019,1,,,,
15,,Rabi-us-Sani,1441,12,December,12,2019,1,,,,
16,,Rabi-us-Sani,1441,13,December,12,2019,1,,,,
17,,Rabi-us-Sani,1441,14,December,12,2019,1,,,,
18,,Rabi-us-Sani,1441,15,December,12,2019,1,,,,
19,,Rabi-us-Sani,1441,16,December,12,2019,1,,,,
20,,Rabi-us-Sani,1441,17,December,12,2019,1,,,,
21,,Rabi-us-Sani,1441,18,December,12,2019,1,,,,
22,,Rabi-us-Sani,1441,19,December,12,2019,1,,,,
23,,Rabi-us-Sani,1441,20,December,12,2019,1,,,,
24,,Rabi-us-Sani,1441,21,December,12,2019,1,,,,
25,,Rabi-us-Sani,1441,22,December,12,2019,1,,,,
26,,Rabi-us-Sani,1441,23,December,12,2019,1,,,,
27,,Rabi-us-Sani,1441,24,December,12,2019,1,,,,
28,,Rabi-us-Sani,1441,25,December,12,2019,1,,,,
29,,Rabi-us-Sani,1441,26,December,12,2019,1,,,,
30,,Rabi-us-Sani,1441,27,December,12,2019,1,,,,
1,,JAMADI-UL-AWWAL,1441,28,December,12,2019,1,,,,
2,,JAMADI-UL-AWWAL,1441,29,December,12,2019,1,,,,
3,,JAMADI-UL-AWWAL,1441,30,December,12,2019,1,,,,
4,,JAMADI-UL-AWWAL,1441,31,December,12,2019,1,,,,
